p.value,m.z,t.score,pos_inx
2.46733058882945e-06,454.38894,-22.9282346828567,1
2.57277328041095e-06,565.0474,66.1425173050888,0
2.59333378832322e-06,284.0993,-18.9412227652416,1
2.69878158770443e-06,336.09105,-18.6040437508014,1
2.9098370644374e-06,244.66341,18.7330088745806,1
2.92566733599929e-06,373.10484,-19.4431103002792,1
3.14232061579342e-06,329.05999,-20.1497616325907,0
3.34109604005892e-06,246.16982,-16.4246451787801,1
3.46161458428027e-06,427.12666,-16.9156714514526,0
3.46480060718474e-06,333.05927,38.7038806531334,0
3.69425727744233e-06,233.06309,-17.2604722390305,1
4.08636564013948e-06,393.08984,-30.6762873192384,1
4.28055983273389e-06,245.04336,-30.3721652216674,0
4.48524476842675e-06,361.10676,-17.7047836177997,1
4.54514375274146e-06,236.99807,-19.3709003529402,1
4.76815526199387e-06,275.06959,-17.6085585409355,1
4.76907732719351e-06,160.07575,-29.4133760725425,1
5.32669547847887e-06,628.05626,15.5735468281875,0
5.3337140058243e-06,264.03909,-34.2291175399927,1
5.36613658382336e-06,260.07375,-17.4340887318643,1
5.45617699832796e-06,377.05503,-15.0359369203008,1
5.67795498165058e-06,296.97249,-17.779981122601,1
6.14491128492237e-06,580.8223,-18.8901932745513,0
6.64331415485314e-06,263.07357,-17.350467934915,1
7.22344453210955e-06,228.04754,-17.617568523533,1
7.36704228257469e-06,507.95123,18.8138246368321,1
7.6934480430147e-06,114.06623,23.9967876108912,1
7.70300979041355e-06,219.00895,-16.4580623234251,1
7.70565044799084e-06,276.16651,14.8675165139036,1
7.70801361051347e-06,384.09832,28.65474956247,0
7.75025862316336e-06,279.11861,-30.7668383479441,1
7.82207290028352e-06,462.06686,16.9095603196295,0
7.94131335338197e-06,664.1161,14.8645154841155,1
8.07340438187655e-06,426.35767,-25.7644915933575,1
8.46129226543919e-06,189.0159,-17.216532998278,1
8.80993227634804e-06,606.07393,38.0842647395281,0
9.06105404667592e-06,173.04177,-33.2986242798971,1
9.18969057276437e-06,173.04196,-35.3206484580592,1
9.44775745532186e-06,183.06185,-17.1725967605435,1
9.46005108432381e-06,344.92908,-18.8973494697089,0
9.56446345650255e-06,664.11627,13.8062036627696,1
9.76875885444187e-06,343.09748,-14.3018295065203,0
1.00414922854143e-05,377.05606,-16.0309728639981,1
1.00831292044649e-05,242.02828,-13.823314860395,0
1.03730865362859e-05,508.62267,-27.4121673354572,1
1.04289618376423e-05,370.05232,14.0202771002601,1
1.07233072023733e-05,380.98745,13.6166554948983,0
1.10425692989274e-05,683.12415,-16.534825407814,1
1.19038976742498e-05,514.11026,-16.1270199644958,1
1.23237968985351e-05,245.04331,-30.0009028728824,0
1.26599533533342e-05,693.11901,13.1748641589495,0
1.3049497513675e-05,711.19817,-17.1566204825509,1
1.34868499937902e-05,212.04299,22.6586978375624,1
1.35555238756674e-05,289.03317,-18.5279422139487,0
1.42689974180929e-05,611.14485,12.8601264933665,0
1.44125927498455e-05,414.3576,-26.9018750865225,1
1.46986255237243e-05,242.07981,12.7299399954686,0
1.4872266856374e-05,351.04225,-17.8373639541572,0
1.4973820844461e-05,174.04083,13.9730078756601,0
1.52844068577495e-05,302.06358,-30.7655404903897,1
1.63405247049551e-05,520.05932,15.5990024816902,0
1.64953385435997e-05,240.03239,19.0584346956627,1
1.70443400365437e-05,400.34217,-24.9694097036048,1
1.77902472096009e-05,531.13617,15.6348514540875,1
1.79580520235919e-05,135.02992,-18.6087335916368,0
1.8368902988083e-05,522.86467,-18.1176638746836,0
1.85114428192598e-05,512.13303,-27.2192460665498,1
1.88047132116075e-05,402.99506,21.0062891489126,0
1.88701853165911e-05,261.14437,-12.2131030527794,1
1.91309963803553e-05,119.03512,-13.8897365269721,0
2.06148018999972e-05,348.07057,13.519712743139,1
