mz,p.value,t.score,mode
345.11203,2.0640676507282595e-6,-19.17721965616566,positive
662.10178,2.2999628965230734e-6,18.59694773639729,negative
309.04962,2.3189870261765707e-6,-37.099440845601,positive
152.05689,2.3588806621158825e-6,-23.2865799784379,positive
479.03245,2.3629556340788264e-6,17.41800138140976,negative
325.0434,2.4358550446550743e-6,17.479315948596053,positive
454.38894,2.4673305888294533e-6,-22.928234682856708,positive
565.0474,2.5727732804109484e-6,66.14251730508882,negative
284.0993,2.5933337883232227e-6,-18.941222765241616,positive
336.09105,2.698781587704431e-6,-18.60404375080136,positive
244.66341,2.9098370644373983e-6,18.733008874580563,positive
373.10484,2.9256673359992884e-6,-19.44311030027921,positive
329.05999,3.1423206157934224e-6,-20.14976163259067,negative
246.16982,3.341096040058922e-6,-16.424645178780096,positive
427.12666,3.4616145842802654e-6,-16.91567145145257,negative
333.05927,3.464800607184738e-6,38.70388065313344,negative
233.06309,3.694257277442333e-6,-17.2604722390305,positive
393.08984,4.086365640139475e-6,-30.676287319238437,positive
245.04336,4.2805598327338856e-6,-30.37216522166741,negative
361.10676,4.48524476842675e-6,-17.70478361779974,positive
236.99807,4.545143752741457e-6,-19.37090035294017,positive
275.06959,4.768155261993869e-6,-17.60855854093553,positive
160.07575,4.7690773271935125e-6,-29.413376072542448,positive
628.05626,5.326695478478873e-6,15.573546828187459,negative
264.03909,5.333714005824299e-6,-34.229117539992714,positive
260.07375,5.366136583823357e-6,-17.434088731864335,positive
377.05503,5.456176998327956e-6,-15.03593692030075,positive
296.97249,5.677954981650581e-6,-17.779981122601043,positive
580.8223,6.144911284922368e-6,-18.890193274551333,negative
263.07357,6.643314154853135e-6,-17.35046793491504,positive
228.04754,7.223444532109554e-6,-17.617568523533002,positive
507.95123,7.367042282574694e-6,18.81382463683214,positive
114.06623,7.693448043014703e-6,23.99678761089122,positive
219.00895,7.703009790413549e-6,-16.45806232342506,positive
276.16651,7.705650447990835e-6,14.86751651390359,positive
384.09832,7.708013610513471e-6,28.654749562470027,negative
279.11861,7.750258623163364e-6,-30.766838347944045,positive
462.06686,7.822072900283523e-6,16.909560319629502,negative
664.1161,7.941313353381965e-6,14.864515484115538,positive
426.35767,8.07340438187655e-6,-25.76449159335749,positive
189.0159,8.461292265439188e-6,-17.216532998277966,positive
606.07393,8.809932276348042e-6,38.084264739528074,negative
173.04177,9.061054046675914e-6,-33.29862427989706,positive
173.04196,9.189690572764369e-6,-35.32064845805918,positive
