"","mz","p.value","t.score","mode"
"74",565.04795,1.69208650565794e-07,28.4424512104654,"negative"
"75",338.10928,1.72818841971535e-07,-34.2816459473196,"negative"
"76",577.10666,1.80968420306612e-07,-30.3867593840631,"negative"
"77",542.78391,1.83088738598481e-07,-31.7483163204027,"negative"
"78",309.04962,1.95724018834295e-07,-51.563493703429,"positive"
"79",405.02852,2.07502640091036e-07,-47.2503843829765,"negative"
"80",565.0474,2.1397486475645e-07,26.9632073404532,"negative"
"81",404.95013,2.24640229193899e-07,-30.6918627585042,"negative"
"82",611.14485,2.33132245627062e-07,25.6290698882807,"negative"
"83",337.06268,2.37051837603606e-07,34.7843781474447,"negative"
"84",197.06065,2.37211306519952e-07,-43.6642089222886,"negative"
"85",308.06443,2.46481978481627e-07,-46.959443218528,"positive"
"86",119.03512,2.49017485482295e-07,-34.593812531803,"negative"
"87",263.03249,2.56908426242842e-07,-45.0247475475198,"negative"
"88",402.99506,2.81622580016113e-07,25.7331358753363,"negative"
"89",484.82537,3.36775963754994e-07,-32.0078753037679,"negative"
"90",449.10148,3.59088121464151e-07,-50.3137304194432,"positive"
"91",344.92908,3.61248713465726e-07,-29.4625968070293,"negative"
"92",241.05047,3.63249818390795e-07,-29.6857609856427,"negative"
"93",111.00871,3.83833419177957e-07,-32.7187485934934,"negative"
"94",342.17657,4.07925599815913e-07,-39.5765020891734,"positive"
"95",173.00786,4.10800048426408e-07,23.5607811362225,"negative"
"96",405.0095,4.27858017055592e-07,28.5578554106668,"positive"
"97",445.18309,4.44021225940503e-07,-48.9026412380857,"positive"
"98",191.01978,5.16216774302217e-07,-28.6582915913738,"negative"
"99",374.93988,6.11499822680153e-07,39.4162785708004,"negative"
"100",351.08309,6.16376664661743e-07,37.8875824127532,"positive"
