mz,p.value,t.score,mode
348.07042,2.6265811072702307e-5,26.681841809822892,positive
361.06126,2.7308853621727726e-5,26.869906578073,positive
139.02139,2.7454652803811216e-5,11.675440455311874,positive
231.04149,2.7819605569057064e-5,-29.80228977162483,positive
359.08491,2.7871202292091157e-5,-30.7311152887633,positive
579.88708,2.8145297654967225e-5,26.942589683934017,negative
328.09759,2.844266476346888e-5,-21.992227559922085,negative
181.06489,2.898183641167975e-5,-27.152024329832493,positive
307.08347,2.9949969083864025e-5,11.881802457808341,positive
186.05807,3.0305127620656073e-5,30.016817929173758,positive
195.08024,3.112013699359502e-5,-29.07044136962954,positive
462.84331,3.1293919805884616e-5,-21.40540418898177,negative
362.0509,3.2637397954071436e-5,12.107283708823426,negative
429.02814,3.265919804298113e-5,-28.288999809987455,positive
307.08443,3.267283331713476e-5,-27.13020214803003,negative
183.07734,3.316783487929107e-5,25.928185956315666,negative
402.96924,3.326311861431613e-5,11.37373713102939,negative
255.0427,3.392413918883113e-5,-27.636555788026214,positive
331.03585,3.415053045595038e-5,-28.6054941278046,positive
415.0959,3.43300108140132e-5,-27.553959864412107,positive
472.14201,3.5266769112939864e-5,-26.072466243719322,positive
91.02193,3.53913174425301e-5,11.091365384763359,negative
579.12129,3.56102817041229e-5,-25.07795288020032,positive
258.93303,3.5741840311531684e-5,11.980797043119896,positive
372.10475,3.622859347746707e-5,10.906978506608054,negative
435.00282,3.689716120785849e-5,31.640892694045608,negative
347.02509,3.9048458333900736e-5,10.896487960311624,positive
611.1446,3.931537236567466e-5,29.30837642389455,negative
347.02511,3.945907231297529e-5,11.723349795673572,positive
370.97865,3.9572865013902216e-5,-24.097548002641602,negative
284.0993,3.9682419052240645e-5,-29.756908065184643,positive
693.16243,4.051154014048359e-5,26.809206563929955,positive
174.04083,4.153337094919801e-5,10.97141705293165,negative
615.34698,4.195701765841506e-5,11.960212333490578,negative
416.12839,4.2180452900107357e-5,-29.16442599481614,positive
412.99445,4.25521230953099e-5,25.928557941864288,negative
277.14438,4.2983485222103774e-5,11.910363612070235,negative
181.06457,4.394632512335933e-5,-26.30829851795322,positive
276.16651,4.458848696976635e-5,11.172431441504248,positive
429.24004,4.5017999837292514e-5,-29.33935353526567,positive
120.08092,4.504873738353297e-5,-10.457432833842189,positive
236.99789,4.505946886476104e-5,-26.74347300284518,positive
260.17155,4.547731542006134e-5,10.444984954947738,positive
438.97975,4.603970580577985e-5,-26.588517539020057,positive
153.06959,4.618765995053332e-5,-25.181789917767208,positive
212.04299,4.630281977910116e-5,25.874858652468788,positive
290.96426,4.631505994844685e-5,-26.6544829269032,positive
216.99759,4.645013819245693e-5,24.955508988123867,negative
261.05425,4.815355081225905e-5,24.801355890693102,negative
264.03909,4.877753103584774e-5,-25.331774170476592,positive
232.04391,4.931155609139111e-5,-26.00435272196301,positive
272.08895,4.969962073334952e-5,10.492594004695919,negative
254.96776,5.015018373561847e-5,10.54681992766375,negative
323.02838,5.165880203728642e-5,10.752483320326581,negative
480.20068,5.472560764719694e-5,23.724001367860513,positive
675.43791,5.4798129179041304e-5,25.514061026574158,positive
362.05079,5.574891569390944e-5,13.315486024336803,negative
225.05443,5.6400959794552695e-5,-25.34888682871995,positive
544.14356,5.647428818193912e-5,-25.657208090479124,positive
407.04285,5.699874622613378e-5,-24.503095864723726,positive
483.08322,5.728024208613697e-5,-26.367640188865867,positive
412.84456,5.780759963527413e-5,-26.47864306307856,positive
330.04428,5.8214809574724345e-5,14.210534255390188,negative
289.01767,5.885305111131655e-5,24.668328813462136,negative
233.06321,5.906984804630898e-5,-24.13992439528468,positive
260.18539,6.0000542825087744e-5,14.549159538388482,positive
425.08061,6.0654846057617505e-5,10.057622383668583,negative
457.10458,6.091171816463462e-5,-25.0118411215983,positive
404.01435,6.186902233221625e-5,15.210987886523485,negative
382.10011,6.22974484273468e-5,-17.59152406719049,negative
684.45547,6.254346877973782e-5,9.896018523794837,negative
88.04019,6.282142773738991e-5,11.406896454749795,negative
412.12723,6.370822115789291e-5,-25.410355100311726,positive
664.1161,6.535863677096866e-5,9.89305889533851,positive
597.30428,6.564642583851397e-5,13.815691433835834,negative
243.08096,6.567420499757779e-5,-13.235479112674069,negative
241.05068,6.614253686013052e-5,-22.919271456129476,negative
498.0774,6.714527708933854e-5,24.177188455732082,negative
152.05667,6.733660733823524e-5,-13.104901405934724,positive
243.06185,6.739238188467903e-5,11.384024758186522,negative
332.94927,6.743787127023968e-5,-24.289981849760917,positive
461.04605,6.893938839853211e-5,-23.439695466563716,positive
272.03979,7.18132788010995e-5,-19.758802677347745,negative
215.01629,7.222229741767582e-5,-22.339348909918925,positive
389.20669,7.408474311163023e-5,12.10835818644249,positive
630.07131,7.46730884395948e-5,9.612086856374464,positive
400.34217,7.484473351015883e-5,-13.383377190371553,positive
