mz,p.value,t.score,mode
447.06753,1.8563120160689258e-5,-16.890170789839654,positive
257.17426,1.8877996385529276e-5,21.15838720861848,positive
649.42641,1.8951908327027128e-5,22.400030397274005,positive
449.2531,1.9326121698086332e-5,-23.34957844877751,positive
458.24032,1.940653179655271e-5,-12.09540165603278,positive
418.2925,1.964107299154599e-5,-12.730481092993086,positive
441.2616,2.004395179457712e-5,-13.735210038462405,positive
243.1744,2.0310906514692823e-5,-12.33356732204852,positive
173.13224,2.0700908321266643e-5,-12.819910749594552,positive
489.28188,2.0939632203413718e-5,-22.652342129582255,positive
267.17309,2.0986586780754776e-5,-14.547034934853743,positive
143.07026,2.1194795434697795e-5,-14.936180907395544,positive
875.50595,2.2676792977693964e-5,-18.216629977665388,positive
243.17454,2.2929349028411906e-5,-21.806479488926175,positive
391.28404,2.2972893086106153e-5,19.15579311015438,positive
470.30941,2.3460687930310958e-5,-16.261274291379394,positive
468.29334,2.4054181634207905e-5,-26.053126843016035,positive
891.55807,2.4485472494398252e-5,-24.291774241382704,positive
435.2751,2.4682725699850607e-5,-24.472744241532492,negative
854.57602,2.485885636879164e-5,-11.587691668609997,positive
321.20593,2.640168826168069e-5,-13.5713190959992,positive
496.33987,2.7062155585354214e-5,14.1077647437811,positive
419.2742,2.7980370761485112e-5,-14.14985775260806,positive
268.17738,2.8483876150240248e-5,-11.74708446072682,positive
267.17437,2.8690724011465264e-5,-20.90601095041272,positive
579.30988,3.066238162952185e-5,-21.530430495792203,positive
199.1481,3.121137424803052e-5,-20.690940789529314,positive
199.148,3.127325458337213e-5,-13.133151807716505,positive
473.28867,3.181819459197309e-5,-13.016310797494928,positive
285.99527,3.217409043586818e-5,13.383934436722397,positive
435.27524,3.235195829553606e-5,-11.930665048352413,negative
223.14625,3.236579409514634e-5,-20.59814601725706,positive
285.1848,3.39334475332213e-5,-13.896889178169694,positive
662.44256,3.413362456512451e-5,15.023253198709394,positive
199.14797,3.5859813837504166e-5,-14.223254765731381,positive
282.11992,3.607556558541222e-5,-11.19849375027206,positive
321.20593,3.7134232318486755e-5,-10.957429207373005,positive
886.60242,3.800775140710466e-5,-11.730923658523864,positive
199.14812,3.829424346574498e-5,-11.890420773256135,positive
475.26649,3.83266724357159e-5,-26.892636731152848,positive
622.32074,3.844222381777122e-5,-11.702889242148421,positive
678.33235,3.892379709883298e-5,-13.694029636626661,negative
243.1742,4.006984523385387e-5,-14.78207197316752,positive
463.27048,4.3614589065235426e-5,-20.695182764520215,negative
257.05905,4.446930682878502e-5,-10.575556305044154,positive
323.21135,4.534957721477736e-5,-10.522995483157544,positive
401.26889,4.766685222371635e-5,-18.554277743760295,positive
437.29037,4.793255607237032e-5,-10.610510101710977,positive
513.27032,4.9669645790788034e-5,-19.731739575203207,negative
435.27551,5.3227227465261406e-5,-22.14393191122797,negative
441.26111,5.332462169176567e-5,-18.889040038111858,positive
541.32755,5.556043207704039e-5,-11.259941854875438,positive
505.37012,5.626872905521714e-5,-10.650278101550393,positive
