p.value,m.z,t.score,pos_inx
1.92552244026003e-06,525.3163,-18.5756229764151,1
1.99762018422963e-06,526.29273,26.9047552945008,1
2.03282613575127e-06,854.57328,-27.2577749013622,1
2.05135050677139e-06,552.35216,-17.9483138951578,1
2.0808136457326e-06,419.27783,-26.4973642989544,1
2.09696566759833e-06,441.26076,-18.0116096380355,1
2.11558247806736e-06,435.27388,-19.6213858729906,1
2.15133206793005e-06,469.28382,-28.5797042320376,1
2.19312796480026e-06,469.28075,-18.0039603111674,0
2.28413754595539e-06,436.305713,-26.8397875645933,1
2.30873201667923e-06,493.23368,-17.8270593236607,0
2.4138145956497e-06,292.07151,-17.3296451211741,0
2.81787399985856e-06,303.19553,-25.7727834940967,1
3.24290194871939e-06,463.27033,-19.277039281197,0
3.47873994915314e-06,421.25738,-28.1163433709008,1
3.52330391408988e-06,421.28615,-27.9804376329166,1
3.6111574584941e-06,553.35581,-16.2733672078309,1
3.66996959046341e-06,243.174242,-25.3029247103594,1
3.76192476724005e-06,303.19554,-24.0140485732508,1
3.77843346533197e-06,515.2128,-16.0923197397151,1
4.20416475220949e-06,584.37739,-15.7622257812355,1
4.46891643201551e-06,402.27733,-20.3469931793211,1
4.57604211682512e-06,283.16971,-24.9328549150826,1
4.62330491934537e-06,265.14788,-17.5799674524655,0
4.66224405348092e-06,464.337,-26.8756845796744,1
4.90353568930206e-06,668.34644,-16.2596617627518,1
4.94854068169871e-06,283.16957,-21.8910585669163,1
4.95309630846836e-06,378.19673,15.695197719795,1
5.35215817261337e-06,303.19528,-15.3854086153188,1
5.44332081313775e-06,526.26563,-17.8493194207177,0
5.4499657889005e-06,836.56828,-15.5896518789869,1
5.46620604573569e-06,303.19526,-16.4851888284411,1
5.53234483211663e-06,455.27656,-26.3060576961035,1
5.54958597254512e-06,422.29098,-17.1755086793742,1
5.65899821228411e-06,321.20588,-18.6099153021766,1
6.44690287879745e-06,201.16326,-16.1531678076815,1
6.4492458565791e-06,502.28075,-16.8107659049346,0
6.56183777267134e-06,511.29101,-15.0095324572842,0
6.80449938479339e-06,457.23482,-16.1485881559114,1
7.13178026859919e-06,225.16363,-14.401301063992,1
7.59321424214653e-06,453.24139,-20.7805606790929,0
7.78046795198933e-06,439.31817,-14.1867499629839,1
