"p.value","m.z","t.score"
6.50370429357192e-06,570.30751,-35.3293354498635
6.52320754208284e-06,480.20068,22.9876557754593
7.08601714938007e-06,276.55096,-31.5031261044914
7.13987950521177e-06,552.09405,-32.2210581309017
7.24045739317881e-06,345.02774,-25.8717367546287
7.24469165625718e-06,571.34453,23.8089494383538
7.54719222296658e-06,484.11659,16.9840661090068
7.55803117019065e-06,273.05956,-30.5575341180463
7.75219070021086e-06,597.30429,14.3812220045753
8.0501680661365e-06,450.92213,20.3329680112897
8.17497996301432e-06,144.08082,-16.4459294459954
8.19096480107239e-06,367.01643,-31.2885377848391
8.37130909383391e-06,697.33443,-31.9527924211215
8.37666932271052e-06,565.0474,24.0673589543448
8.38395151632238e-06,382.1003,-26.6442883845879
8.61597004788866e-06,506.08844,-31.0494052164673
8.82358317453845e-06,511.09671,-31.9904968132688
9.09113331837847e-06,302.3052,20.9771884694536
9.23338412440926e-06,662.15713,13.7477062702576
9.36029158933691e-06,587.0298,20.447576763557
9.67653715932345e-06,337.06268,15.0059007598141
9.74425609184987e-06,271.96466,13.8167405232856
1.00529000957553e-05,135.03135,13.5430728123767
1.01084573067895e-05,443.60023,-30.093335760871
1.08023018225039e-05,232.15434,14.4602304861938
1.10993546696731e-05,97.02857,18.3530997640243
1.17752789962823e-05,336.12011,19.7181643306503
1.19592258606026e-05,302.53383,13.6372219268994
1.21974665667776e-05,684.45511,17.5148110103284
1.31144340683796e-05,609.11552,-29.9747500769868
1.31774838886306e-05,607.10177,-21.9367894428249
1.35932325843708e-05,237.0091,-25.2536455927962
1.40219705476341e-05,449.06703,-29.4336252121338
1.40473680926501e-05,550.0797,-23.3297840298408
1.42521224417995e-05,173.02091,-29.2768486407931
1.46671431993897e-05,298.57031,12.8019983418022
1.58854427872044e-05,397.08741,-24.2125631425094
1.59715121454018e-05,414.84063,-27.8666833075609
1.65154434218754e-05,548.89909,17.6260281762636
1.75672781404271e-05,414.35788,-28.1913549223886
1.76982391340408e-05,447.10604,-26.7823231715117
1.8153714286512e-05,426.35775,-13.2000124070295
1.82819617828435e-05,296.92531,-28.1042902720852
1.86652864863043e-05,472.3387,-12.3194106127137
1.88992500109526e-05,609.11566,-27.3182804823819
1.93251941869287e-05,184.04384,13.2559711556513
1.97361477275869e-05,254.24763,20.9461080160632
2.05529851885259e-05,380.0612,-22.6875613162157
2.0632593932656e-05,445.09147,-22.2642489512079
2.08553383210266e-05,607.10099,-22.9795254833009
2.14413441180062e-05,277.15554,11.9958825918323
2.16224650003191e-05,463.04646,-28.1832646715426
2.16663023812025e-05,345.03455,-27.8151870547038
2.23225839603464e-05,565.04795,24.4978604214729
2.24607610994371e-05,552.09416,-27.269178171677
2.24967659896191e-05,406.02506,-27.2642575937952
2.3258567734174e-05,308.90594,-22.8644777694231
2.3797421702518e-05,287.07516,-26.7806248432305
2.42438676740835e-05,584.08874,17.1557787676139
2.45487124957294e-05,759.1793,22.1308324008565
2.47708288100029e-05,260.18533,-11.8185907978802
2.55092446774697e-05,432.08291,-25.9400585567575
2.64426873541252e-05,305.06196,-26.8464147812477
2.74056712677864e-05,275.0886,11.3987830203992
2.81552931725133e-05,369.58275,-26.9169126338625
2.82547653833136e-05,432.08231,-26.8253952930603
2.88320365796417e-05,431.07446,-26.164216767435
2.92926177695604e-05,274.187,12.167028054892
2.9919737041153e-05,369.58287,-29.4098898675146
3.00212628358712e-05,399.10232,-29.055956402453
3.01128867944739e-05,139.0214,12.8460489062248
3.04616170573294e-05,218.13847,-11.5591088375975
3.2457915387838e-05,289.03315,14.7595737923503
3.63987426462028e-05,130.05006,14.4122449477897
3.69833645002777e-05,368.06119,-21.7712294154308
3.76740117930581e-05,738.15823,-24.295245398412
3.79461469133116e-05,346.09383,-25.2097488121816
3.87327626759466e-05,160.07575,-34.9228030371604
3.8868378478325e-05,447.10572,-24.3827096371937
3.98254223778721e-05,383.04139,19.1996113897462
4.09434413093555e-05,298.09118,-22.508405627266
4.1194448511217e-05,369.58339,-24.2610564553943
4.22094181556917e-05,289.16207,15.7372608831271
4.23604857406082e-05,254.96776,10.5819802305141
4.31657352101268e-05,307.10994,-11.046585255944
4.46432379585694e-05,738.15745,-24.2353605247123
