"","mz","p.value","t.score","mode"
"89",552.10653,6.18852319602726e-06,15.300034073174,"positive"
"90",346.11818,6.4771162900151e-06,14.6009148155307,"positive"
"91",332.12748,6.6397814595083e-06,15.3654360020055,"positive"
"92",305.59622,6.93346016215351e-06,24.8336776440131,"positive"
"93",261.12658,6.93393276330823e-06,-33.4737475123055,"positive"
"94",342.26379,7.41898532627145e-06,21.8178912322121,"positive"
"95",447.12022,8.03249247543132e-06,20.4285967142462,"positive"
"96",112.05056,8.21033123764144e-06,18.6745432598527,"positive"
"97",217.02753,8.22880483497159e-06,15.2545022603829,"positive"
"98",258.18108,8.29509451931949e-06,14.7804769851164,"positive"
"99",429.05281,8.35922301179376e-06,19.3235183484191,"positive"
"100",446.13624,8.38025451047313e-06,15.1833299687228,"positive"
