mz,p.value,t.score,mode
159.00128,4.599512166523116e-4,-9.854165188038936,negative
345.0468,4.62774141977866e-4,-9.876557036145854,negative
414.99095,4.8775101165471194e-4,-13.598065124150256,positive
1129.09138,5.154783641593365e-4,-13.036703788618638,positive
375.02109,6.06822753639515e-4,-10.3584356895413,negative
295.05464,6.352846801871872e-4,-11.212715234544389,negative
383.07403,6.83390936781328e-4,-9.18971163374458,negative
508.13039,6.917663937953839e-4,-12.893603124616266,positive
443.1893,9.865136382558616e-4,-11.379716628829158,positive
297.15438,0.0010422727868044071,-8.875630538115695,positive
399.01774,0.001171956082358531,-10.983894367325927,positive
495.05848,0.001291481965811583,-10.562814433083279,positive
394.97941,0.0013030409505454818,-9.40985726844499,negative
381.00384,0.001311306083485152,-8.387416440285184,negative
775.04594,0.0014428910401611359,-10.26450876669057,positive
414.35788,0.0015011888415033244,-5.940318350560641,positive
629.14605,0.0015848195619695726,-10.093808398203477,positive
297.06944,0.0016977731432420494,-9.786381781931736,positive
493.04373,0.0017368058097434475,-7.98961885463028,negative
377.03586,0.0018091490329394412,-9.747715741986944,positive
117.05488,0.0018140991594784777,-9.668853144109164,positive
884.15893,0.0018670035269579951,-9.497773598122457,positive
179.00769,0.00219869293008281,-7.773805335387801,negative
455.04969,0.002367189585947502,-8.990201711590737,positive
99.04399,0.0024269834364495295,-8.849060330340643,positive
209.15334,0.00245366052171875,-5.329674199596463,positive
295.05486,0.002574403345433299,-7.932346099185675,negative
611.02458,0.0026885003218391004,-7.151156387381969,positive
325.04328,0.0027761318726739963,-5.109325341430209,positive
305.13205,0.00306751993942911,-8.216647000595175,positive
230.18624,0.003145529098333962,-5.0618066426132815,positive
679.13605,0.0032042593007738434,-7.235013585855376,negative
193.02324,0.003281408625067247,-7.016097980744228,negative
243.06224,0.003447780872471835,-5.704102708347889,negative
191.04018,0.0034652054608750363,-4.762075439688033,positive
645.11645,0.003547227422086956,-7.983736545153491,positive
399.01726,0.0036566915651213942,-7.883464397311647,positive
345.89744,0.004182802474788737,4.728155120272778,positive
295.05467,0.004513960759297365,-4.540086962291839,negative
495.09836,0.004803748134286141,-7.21992292412767,positive
