"","mz","p.value","t.score","mode"
"31",385.08677,6.33728345624337e-06,-14.87356808301,"negative"
"32",429.17133,8.10857248202227e-06,-15.884745989596,"positive"
"33",399.01807,9.57359023502512e-06,-14.3832180765849,"positive"
"34",203.00389,1.1435971491789e-05,-13.3791218741728,"positive"
"35",314.09589,1.20214127674771e-05,-22.2812639795851,"positive"
"36",295.05466,1.32261392595776e-05,-18.4911194493197,"negative"
"37",129.05578,1.48669459448843e-05,-17.9417590807791,"negative"
"38",179.00756,1.51391390934231e-05,-44.386879990981,"negative"
"39",331.03128,1.56649213824781e-05,-43.3993162093281,"negative"
"40",614.07444,1.75875265767346e-05,-12.4072366525614,"positive"
"41",302.53383,1.77884082509003e-05,13.9381840000667,"negative"
"42",443.08759,1.85659370454931e-05,-13.0658319325227,"negative"
"43",295.05459,2.10859051195829e-05,-13.0953715104169,"negative"
"44",335.02595,2.75343611235808e-05,-11.3874309955923,"positive"
"45",81.03357,3.02008655455737e-05,-19.3295788032956,"positive"
"46",414.99146,3.13941700950254e-05,-11.5602131707377,"positive"
"47",377.03632,3.48676210394221e-05,-19.9445174645933,"positive"
"48",615.1118,3.65472771867305e-05,-11.7813064498872,"positive"
"49",459.19907,5.77643455477725e-05,14.3317687182505,"positive"
"50",773.03139,6.3082388790301e-05,-12.0299273230807,"negative"
"51",375.02102,6.48183877093065e-05,-18.2454826646825,"negative"
"52",197.02095,6.65202439204781e-05,-18.4855152758199,"positive"
"53",389.03669,7.19527873833213e-05,-17.5483357298408,"negative"
"54",425.11764,7.27247328574438e-05,-20.7389326923524,"negative"
"55",420.99942,7.67944825111315e-05,-22.3943030735152,"positive"
"56",197.02096,7.75921057898558e-05,-20.1805070422545,"positive"
"57",255.04076,7.98061749100274e-05,-18.0562150522667,"positive"
"58",500.11082,9.54355746891512e-05,-10.463647713917,"positive"
"59",179.01037,0.000107854688224599,-17.3353510975725,"positive"
"60",252.04861,0.000114489133738128,-10.9891008148637,"negative"
"61",205.05153,0.000137879756034217,-9.79640576392763,"positive"
"62",81.03366,0.00014945134192985,-16.0999972100548,"positive"
"63",181.02183,0.000149676368267549,-16.3973658521727,"positive"
"64",355.07562,0.000151034164052322,-10.9062873867943,"negative"
"65",631.07321,0.000157296166764906,-11.5627667669018,"negative"
"66",193.02309,0.000182116217338894,-10.8960051807561,"negative"
"67",553.13074,0.000192552910311888,-16.0254183097389,"positive"
"68",643.10148,0.000221448979686008,-11.3012141607069,"negative"
"69",753.06481,0.00025921453330682,-14.9112396985192,"positive"
"70",132.10202,0.000267484919421359,-15.7312248544275,"positive"
"71",79.02126,0.000271373791293686,-14.866871885444,"positive"
"72",335.02499,0.000364877229943524,-8.6176604577155,"positive"
"73",375.06237,0.000417907014796632,-13.7952884762145,"positive"
"74",204.04882,0.00043913580687625,-7.37347495636468,"positive"
"75",287.1422,0.000456835159565922,7.0088676040803,"positive"
"76",377.03567,0.000457733690578546,-14.8924454779432,"positive"
"77",159.00128,0.000459951216652312,-9.85416518803894,"negative"
"78",345.0468,0.000462774141977866,-9.87655703614585,"negative"
"79",414.99095,0.000487751011654712,-13.5980651241503,"positive"
"80",1129.09138,0.000515478364159336,-13.0367037886186,"positive"
"81",375.02109,0.000606822753639515,-10.3584356895413,"negative"
"82",295.05464,0.000635284680187187,-11.2127152345444,"negative"
"83",383.07403,0.000683390936781328,-9.18971163374458,"negative"
"84",508.13039,0.000691766393795384,-12.8936031246163,"positive"
"85",443.1893,0.000986513638255862,-11.3797166288292,"positive"
"86",297.15438,0.00104227278680441,-8.8756305381157,"positive"
"87",399.01774,0.00117195608235853,-10.9838943673259,"positive"
"88",495.05848,0.00129148196581158,-10.5628144330833,"positive"
"89",394.97941,0.00130304095054548,-9.40985726844499,"negative"
"90",381.00384,0.00131130608348515,-8.38741644028518,"negative"
"91",775.04594,0.00144289104016114,-10.2645087666906,"positive"
"92",414.35788,0.00150118884150332,-5.94031835056064,"positive"
"93",629.14605,0.00158481956196957,-10.0938083982035,"positive"
"94",297.06944,0.00169777314324205,-9.78638178193174,"positive"
"95",493.04373,0.00173680580974345,-7.98961885463028,"negative"
"96",377.03586,0.00180914903293944,-9.74771574198694,"positive"
"97",117.05488,0.00181409915947848,-9.66885314410916,"positive"
"98",884.15893,0.001867003526958,-9.49777359812246,"positive"
"99",179.00769,0.00219869293008281,-7.7738053353878,"negative"
