"p.value","m.z","t.score"
1.44915124712287e-06,853.45928,28.3957804799594
1.45426388694521e-06,465.24539,23.3517169994846
1.46283783351571e-06,712.31174,20.2013928718928
1.46797989737981e-06,183.11587,18.8317576703854
1.47612289166081e-06,731.3241,20.7477732099256
1.51347216418444e-06,229.15864,29.3064528928893
1.52095406202981e-06,454.24912,18.6762669431735
1.54434886097969e-06,305.17599,29.4185310686896
1.55880537606011e-06,476.2254,19.160694338447
1.57899707481861e-06,431.24037,18.8815767067752
1.58903846187436e-06,289.17984,28.0913119004311
1.59373616198939e-06,185.13248,20.8639720824975
1.59904650434511e-06,287.16458,22.051259125556
1.62231630587741e-06,185.13244,21.8376898674239
1.6585471912707e-06,483.22384,29.1847961015245
1.75511539758671e-06,835.49647,27.7214233744878
1.76719356185781e-06,235.14869,18.4452352898693
1.80009083756826e-06,871.48031,18.6913847383351
1.84757288875936e-06,445.67968,19.8318831725281
1.84946508930695e-06,289.17974,18.3246889772244
1.89208628091875e-06,391.24775,21.1149921319297
1.92239857899626e-06,475.23106,24.9717329911267
1.93175084063059e-06,229.15844,19.0396619313045
1.98724872235511e-06,423.27269,30.3432860939179
1.98785206022037e-06,583.26839,20.0483874323239
2.00730472464847e-06,777.49143,21.106229953352
2.01456163389532e-06,556.34555,35.8321034196823
2.02886535829929e-06,431.24041,20.8890769683969
2.09662691585419e-06,866.52417,20.258825270072
2.10257763418508e-06,229.15852,20.9758303482967
2.12669848048179e-06,459.21507,19.7573996835768
2.16504541414199e-06,867.52185,17.9188597099467
2.18646782786719e-06,603.29424,17.563998309099
2.2624707901454e-06,159.11692,18.0815657631289
2.27615263413713e-06,185.13242,18.3422830934975
2.27834053537794e-06,733.33994,18.1692412782632
2.31014728046966e-06,250.09333,-42.600252187247
2.32043196109458e-06,815.49467,20.518688426828
2.33257763471645e-06,680.32053,23.2770035492174
2.3549222255142e-06,289.17827,24.3420827444592
2.39209004850555e-06,287.16394,20.4417134961429
2.40673858210301e-06,112.98566,30.7746274183152
2.45411397215537e-06,125.0599,17.2406223894221
2.50038033625739e-06,391.24823,18.4611363653471
2.52534985657025e-06,749.45888,17.2388795678903
2.54715642996365e-06,305.17461,18.2418409382148
2.59691982320447e-06,407.24386,24.6711691223368
2.65248699171986e-06,469.24432,25.5337527434428
2.71586257117441e-06,503.22617,22.3108235741559
2.7231142328899e-06,253.15863,17.7620334442925
2.78480065277727e-06,413.23382,34.3276818439352
2.80160507370796e-06,335.15033,19.1224238693109
2.83284926418921e-06,408.27429,19.6309731853943
2.8503929271057e-06,405.26356,30.7030154406152
2.85510827124788e-06,211.14813,18.5367830201195
2.9016396296377e-06,285.18481,20.4211932230617
2.98091670988826e-06,714.32548,17.4573274445134
2.99790097514163e-06,391.24783,21.2844771051052
3.00837525099174e-06,271.16919,26.056826018031
3.05336976308507e-06,285.18484,30.1712714283425
3.05620262361855e-06,617.27394,17.9792463026034
3.07894865362656e-06,714.32619,16.7569735986049
3.08695434032685e-06,466.27947,19.2983408483834
3.10078959236003e-06,461.25045,16.7127308476396
3.10124392615278e-06,201.12732,16.8926224774224
3.12166941431729e-06,732.33724,18.8682153269445
3.19884102876819e-06,446.22457,16.8419095987508
3.2193600940548e-06,159.11684,16.6480749793582
3.36444529465248e-06,440.26504,20.5693372730353
3.39992856233973e-06,425.25343,16.9460133100703
3.40885053301113e-06,586.28668,18.9282909776701
3.41480375945514e-06,425.25342,16.5318240828536
3.43159810750445e-06,373.23717,26.5938577036127
3.5330137239697e-06,289.17973,27.4699900729651
3.53814777050323e-06,481.28124,17.1664830622177
3.60312772197656e-06,831.50132,16.1378675988107
3.67727357225285e-06,305.1745,19.2024151916137
3.8347843231728e-06,408.27442,26.6081953944706
3.91833075923055e-06,385.06966,28.4133396733579
3.93426680671227e-06,225.16378,17.1891384125261
4.08978573590564e-06,418.20773,15.8378478179666
4.22969876141397e-06,463.22972,16.9115359418852
