"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycerophospholipid metabolism","36","9","2","2.1257","0.48341","0.82021","0.062694","51","0.51","1","1","1","P14","C00307;C00093"
"Steroid biosynthesis","41","10","2","2.421","0.54307","0.85172","0.074527","0","0","1","1","1","P15","C11508;C15783;C11455;C00448"
"Pyrimidine metabolism","39","20","3","2.3029","0.70741","0.88704","0.092298","78","0.78","1","1","1","P16","C00064;C00105;C21029;C00672"
"Purine metabolism","70","36","5","4.1333","0.78501","0.8974","0.098817","84","0.84","1","1","1","P17","C00035;C00117;C00064;C00020;C00360;C00362;C00620"
"Drug metabolism - other enzymes","39","13","2","2.3029","0.69245","0.91701","0.11353","11","0.11","1","1","1","P18","C12650;C07585"
"Glycolysis / Gluconeogenesis","26","14","2","1.5352","0.73254","0.93167","0.12731","40","0.4","1","1","1","P19","C00085;C00668;C00103;C01172"
"D-Amino acid metabolism","15","14","2","0.88571","0.73254","0.93167","0.12731","74","0.74","1","1","1","P20","C00819;C00217;C00792;C02237;C04282"
"Galactose metabolism","27","15","2","1.5943","0.76815","0.94376","0.14133","21","0.21","1","1","1","P21","C01097;C00103;C00446;C00668"
"Metabolism of xenobiotics by cytochrome P450","68","26","3","4.0152","0.86187","0.95672","0.16036","43","0.43","1","1","1","P22","C06800;C14871;C19559"
"Cysteine and methionine metabolism","33","18","2","1.9486","0.85151","0.96872","0.18402","78","0.78","1","1","1","P23","C00170;C00019"
"Alanine, aspartate and glutamate metabolism","28","19","2","1.6533","0.87263","0.97429","0.19828","61","0.61","1","1","1","P24","C01042;C03406;C00025;C00064"
"Drug metabolism - cytochrome P450","55","20","2","3.2476","0.89099","0.97889","0.21248","45","0.45","1","1","1","P25","C16591;C16604"
"Tyrosine metabolism","42","23","2","2.48","0.93246","0.98833","0.25444","68","0.68","1","1","1","P26","C00082;C01829"
"Tryptophan metabolism","41","27","2","2.421","0.96517","0.99474","0.30823","80","0.8","1","1","1","P27","C05660;C02220"
"Steroid hormone biosynthesis","87","31","2","5.1371","0.98244","0.99764","0.35905","23","0.23","1","1","1","P28","C00951;C05298;C05300"
"Fatty acid degradation","39","4","1","2.3029","0.53596","1","1","17","0.17","1","1","1","P29","C02990"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","6","1","1.0629","0.68465","1","1","44","0.44","1","1","1","P30","C00082"
"Valine, leucine and isoleucine degradation","40","12","1","2.3619","0.90199","1","1","39","0.39","1","1","1","P31","C02939;C15980"
"Lysine degradation","30","7","1","1.7714","0.7402","1","1","25","0.25","1","1","1","P32","C00449"
"Phenylalanine metabolism","8","6","1","0.47238","0.68465","1","1","26","0.26","1","1","1","P33","C00082"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","3","1","0.23619","0.43743","1","1","22","0.22","1","1","1","P34","C00082"
"beta-Alanine metabolism","21","8","1","1.24","0.78604","1","1","35","0.35","1","1","1","P35","C00386"
"Taurine and hypotaurine metabolism","8","2","1","0.47238","0.31825","1","1","11","0.11","1","1","1","P36","C05844"
"Selenocompound metabolism","20","2","1","1.181","0.31825","1","1","8","0.08","1","1","1","P37","C05699"
"Neomycin, kanamycin and gentamicin biosynthesis","2","2","1","0.1181","0.31825","1","1","17","0.17","1","1","1","P38","C00092"
"Glycerolipid metabolism","16","3","1","0.94476","0.43743","1","1","23","0.23","1","1","1","P39","C00093"
"alpha-Linolenic acid metabolism","13","4","1","0.76762","0.53596","1","1","9","0.09","1","1","1","P40","C16335"
"Pyruvate metabolism","23","8","1","1.3581","0.78604","1","1","55","0.55","1","1","1","P41","C03451"
"Glyoxylate and dicarboxylate metabolism","32","12","1","1.8895","0.90199","1","1","61","0.61","1","1","1","P42","C00025;C00064"
"One carbon pool by folate","9","5","1","0.53143","0.61739","1","1","13","0.13","1","1","1","P43","C03479;C00234"
"Nicotinate and nicotinamide metabolism","15","9","1","0.88571","0.82387","1","1","32","0.32","1","1","1","P44","C00153;C05843;C05842"
"Pantothenate and CoA biosynthesis","20","11","1","1.181","0.88079","1","1","81","0.81","1","1","1","P45","C00831"
